time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002918,0.0218,0.0564,0.2003,0.209
0.003464,0.0195,0.0310,0.3478,0.350
0.006802,-0.0042,0.0181,0.3794,0.380
0.012827,-0.0302,-0.0252,0.4079,0.410
0.017420,0.0176,-0.0419,0.3763,0.379
0.022245,0.0270,-0.0961,0.2996,0.316
0.028886,0.0219,-0.0784,0.2234,0.238
0.035165,0.0644,-0.0940,0.1313,0.174
0.038299,0.0377,-0.1094,0.0045,0.116
0.043427,0.0183,-0.0937,-0.0450,0.106
0.047412,0.0394,-0.0995,-0.0631,0.124
0.052877,0.0295,-0.0887,-0.1165,0.149
0.058035,0.0245,-0.0593,-0.1098,0.127
0.062694,0.0338,-0.0705,-0.1410,0.161
0.067715,0.0407,-0.0317,-0.1671,0.175
0.072874,0.0546,-0.0550,-0.1240,0.146
0.077600,0.0518,-0.0710,-0.0571,0.105
0.083231,0.0490,-0.0727,-0.0383,0.096
0.087732,0.0628,-0.0695,0.0208,0.096
0.093189,0.0338,-0.0758,0.0389,0.092
0.098128,0.0525,-0.0820,0.0521,0.110
0.102713,0.0259,-0.0879,0.0391,0.100
0.109880,0.0066,-0.0891,0.0497,0.102
0.113438,-0.0458,-0.0808,0.0577,0.109
0.118819,0.0092,-0.0820,0.0299,0.088
0.123154,-0.0100,-0.0759,-0.0240,0.080
0.127858,-0.0124,-0.1031,-0.0421,0.112
0.133952,0.0018,-0.0753,-0.0361,0.084
0.138594,0.0040,-0.0596,-0.0493,0.077
0.145151,-0.0294,-0.0727,-0.0338,0.085
0.148928,0.0420,-0.0809,-0.0682,0.114
0.153907,0.0416,-0.0724,-0.0570,0.101
0.160832,0.0601,-0.0426,-0.0363,0.082
0.169016,0.0548,-0.0344,0.0153,0.066
0.171510,0.0376,-0.0428,0.0192,0.060
0.173808,0.0561,-0.0321,0.0231,0.069
0.178240,0.0532,-0.0452,0.0105,0.071
0.183771,0.0407,-0.0319,0.0218,0.056
0.188434,0.0022,-0.0140,0.0212,0.025
0.193824,0.0020,0.0110,-0.0436,0.045
0.198894,0.0137,0.0050,-0.0103,0.018
0.203546,0.0039,-0.0106,0.0084,0.014
0.210124,-0.0082,-0.0168,0.0078,0.020
0.214303,0.0012,-0.0251,0.0025,0.025
0.218747,0.0082,-0.0119,0.0068,0.016
0.223725,0.0340,-0.0272,0.0181,0.047
0.228994,-0.0044,-0.0282,0.0410,0.050
0.234814,0.0049,-0.0124,0.0187,0.023
0.238744,-0.0381,0.0080,0.0132,0.041
0.243838,-0.0428,0.0352,-0.0139,0.057
0.249169,-0.0569,0.0028,-0.0550,0.079
0.254362,-0.0827,0.0561,-0.0528,0.113
0.260364,-0.0489,0.0589,-0.0031,0.077
0.264410,-0.0249,0.0333,0.0131,0.044
0.269277,-0.0034,0.0174,0.0151,0.023
0.274583,0.0392,0.0017,0.0671,0.078
0.279209,0.1004,0.0029,0.1117,0.150
0.284642,0.1136,0.0351,0.1514,0.193
0.289435,0.0982,0.0172,0.1435,0.175
0.295729,0.1137,0.0235,0.1262,0.171
0.299669,0.0959,0.0417,0.0497,0.116
0.305481,0.0972,0.0502,0.0167,0.111
0.310303,0.0818,0.0636,-0.0303,0.108
0.315027,0.0523,0.0555,-0.0599,0.097
0.319571,0.0206,0.0619,-0.1105,0.128
0.324461,0.0201,0.0777,-0.1227,0.147
0.330043,-0.0184,0.1147,-0.0516,0.127
0.335796,-0.0519,0.0754,-0.0310,0.097
0.339962,-0.0803,0.1171,0.0156,0.143
0.344894,-0.1156,0.1418,0.0118,0.183
0.350368,-0.1054,0.1282,0.0933,0.190
0.355074,-0.1191,0.1454,0.1266,0.227
0.360487,-0.1017,0.1291,0.1189,0.203
0.365327,-0.1225,0.1462,0.1491,0.242
0.370207,-0.0980,0.1252,0.1695,0.232
0.375629,-0.0500,0.0947,0.1230,0.163
0.380134,-0.0094,0.1001,0.1173,0.154
0.385603,-0.0048,0.0911,0.0999,0.135
0.390055,0.0021,0.0704,0.0613,0.093
0.395652,0.0470,0.1187,0.0590,0.141
0.400428,0.0654,0.0740,0.0426,0.108
0.405315,0.0456,0.0653,0.0361,0.087
0.410662,0.0521,0.0827,-0.0080,0.098
0.417583,0.0467,0.0835,0.0578,0.112
0.420445,0.0199,0.0937,0.0351,0.102
0.425502,-0.0209,0.1111,0.0459,0.122
0.430615,-0.0495,0.1091,0.0495,0.130
0.436750,-0.0255,0.1119,0.0340,0.120
0.440991,-0.0398,0.0791,0.0589,0.106
0.445850,-0.0610,0.1175,0.0264,0.135
0.451612,-0.0607,0.1224,0.0702,0.154
0.456095,-0.0485,0.1391,0.0304,0.150
0.461016,-0.0150,0.1174,0.0502,0.129
0.466164,-0.0269,0.1148,0.0603,0.132
0.470846,-0.0149,0.0909,0.1251,0.155
0.477100,0.0421,0.0887,0.1752,0.201
0.481637,0.0606,0.0509,0.1085,0.134
0.486118,0.0789,0.0466,0.1233,0.154
0.491073,0.0614,0.0212,0.1381,0.153
0.496529,0.0441,0.0389,0.1269,0.140
0.501456,0.0482,0.0209,0.0968,0.110
0.506528,0.0096,0.0126,0.0861,0.088
0.511288,-0.0217,0.0234,0.0826,0.089
0.516721,-0.0074,0.0315,0.0746,0.081
0.521507,-0.0433,0.0350,0.0951,0.110
0.527247,-0.0265,0.0526,0.0965,0.113
0.531961,-0.0194,0.0012,0.0906,0.093
0.536967,-0.0409,-0.0142,0.1179,0.126
0.541725,-0.0835,-0.0081,0.0759,0.113
0.547174,-0.1115,0.0216,0.0839,0.141
0.552017,-0.0776,-0.0369,0.0653,0.108
0.557946,-0.0724,-0.0142,0.0538,0.091
0.562547,-0.0648,-0.0203,0.0396,0.079
0.568532,-0.0454,-0.0192,0.0040,0.050
0.572139,-0.0476,-0.0872,-0.0480,0.110
0.577761,-0.0260,-0.0620,-0.0641,0.093
0.585406,0.0050,-0.0538,-0.0752,0.093
0.587298,-0.0141,-0.0765,-0.1098,0.135
0.592023,0.0025,-0.0895,-0.0822,0.122
0.598326,0.0902,-0.0906,-0.0548,0.139
0.602146,-0.0104,-0.0726,-0.0657,0.098
0.607855,-0.1031,-0.0573,-0.0879,0.147
0.612261,0.0403,-0.1541,-0.0500,0.167
0.617800,0.1230,-0.1643,-0.0014,0.205
0.622251,0.0054,-0.0811,0.0648,0.104
0.627700,-0.0780,-0.0367,0.0517,0.101
0.632967,-0.0039,-0.0450,0.0674,0.081
0.638006,-0.0017,-0.0319,0.1067,0.111
0.642416,-0.0042,-0.0641,-0.0204,0.067
0.647788,-0.0043,-0.1036,-0.0556,0.118
0.652723,0.0076,-0.0976,-0.0783,0.125
0.658739,0.0051,-0.1036,-0.1317,0.168
0.662624,-0.0259,-0.1025,-0.2038,0.230
0.671338,-0.0210,-0.1038,-0.1852,0.213
0.672724,-0.0328,-0.1195,-0.1860,0.223
0.678136,0.0221,-0.1229,-0.1824,0.221
0.683749,0.0432,-0.1216,-0.1505,0.198
0.687839,0.0451,-0.1748,-0.1850,0.259
0.692946,0.0660,-0.1918,-0.1834,0.273
0.698603,0.0676,-0.2132,-0.1908,0.294
0.702960,0.0692,-0.2366,-0.1600,0.294
0.708470,0.0565,-0.2192,-0.1173,0.255
0.713215,0.0272,-0.2278,-0.1439,0.271
0.718886,0.0100,-0.2243,-0.1372,0.263
0.723398,0.0262,-0.1970,-0.1569,0.253
0.728122,0.0611,-0.2314,-0.1413,0.278
0.733743,0.0911,-0.2155,-0.2020,0.309
0.738778,0.1041,-0.2118,-0.1957,0.307
0.743268,0.1076,-0.1939,-0.2084,0.304
0.748492,0.1348,-0.1926,-0.2136,0.318
0.754110,0.1474,-0.2150,-0.2207,0.342
0.758776,0.1528,-0.2300,-0.1844,0.332
0.763598,0.1059,-0.2305,-0.1457,0.293
0.768534,0.1139,-0.2334,-0.1735,0.312
0.773603,0.0982,-0.1935,-0.1629,0.271
0.779217,0.1348,-0.1918,-0.1784,0.295
0.785162,0.1046,-0.1996,-0.1744,0.285
0.788949,0.0817,-0.1739,-0.1322,0.233
0.794646,0.1064,-0.1721,-0.1661,0.262
0.799204,0.1333,-0.1890,-0.1519,0.277
0.804017,0.1457,-0.1607,-0.1162,0.246
0.808908,0.1627,-0.1561,-0.1352,0.263
0.814041,0.1747,-0.1582,-0.1133,0.262
0.819433,0.1128,-0.1246,-0.1341,0.215
0.824016,0.1299,-0.0981,-0.1331,0.210
0.829318,0.0921,-0.1003,-0.1341,0.191
0.834290,0.0879,-0.1046,-0.1494,0.202
0.839472,0.0670,-0.0898,-0.1574,0.193
0.846708,0.0747,-0.0797,-0.1769,0.208
0.849620,0.1038,-0.0933,-0.2248,0.265
0.854909,0.0992,-0.1019,-0.2413,0.280
0.859619,0.1185,-0.0984,-0.2313,0.278
0.864561,0.1399,-0.1138,-0.2592,0.316
0.869722,0.1444,-0.1265,-0.2557,0.320
0.874430,0.1203,-0.1153,-0.2426,0.294
0.880503,0.1559,-0.1184,-0.2554,0.322
0.885115,0.1435,-0.1117,-0.2156,0.282
0.889675,0.1952,-0.1001,-0.2448,0.329
0.894876,0.1539,-0.1028,-0.2354,0.299
0.900056,0.1271,-0.0626,-0.2401,0.279
0.904980,0.1290,-0.0962,-0.2634,0.309
0.909820,0.1047,-0.0891,-0.2672,0.300
0.915179,0.0615,-0.0820,-0.2374,0.259
0.920402,0.0424,-0.0749,-0.2692,0.283
0.925751,0.0425,-0.0868,-0.3529,0.366
0.930198,-0.0050,-0.1010,-0.3813,0.394
0.935134,-0.0426,-0.0819,-0.3713,0.383
0.940596,-0.0585,-0.1272,-0.3924,0.417
0.945300,-0.0695,-0.1034,-0.4442,0.461
0.950393,-0.0709,-0.1370,-0.4695,0.494
0.955534,-0.0794,-0.1777,-0.4829,0.521
0.961647,-0.0546,-0.1705,-0.4917,0.523
0.965705,-0.0252,-0.2038,-0.5172,0.556
0.970458,-0.0412,-0.2179,-0.4949,0.542
0.975361,-0.0357,-0.2414,-0.4871,0.545
0.981399,0.0434,-0.2956,-0.5317,0.610
0.985740,0.0410,-0.3087,-0.5308,0.615
0.990577,-0.0114,-0.3524,-0.5110,0.621
0.997153,0.0032,-0.3054,-0.5032,0.589
1.001723,0.0390,-0.3085,-0.4769,0.569
1.006039,0.0032,-0.2975,-0.4678,0.554
1.011796,0.0438,-0.2627,-0.4757,0.545
1.016702,0.0769,-0.2425,-0.4578,0.524
1.021499,0.1548,-0.2249,-0.4521,0.528
1.025817,0.1917,-0.2097,-0.4108,0.500
1.031402,0.2805,-0.2135,-0.4410,0.565
1.036269,0.3399,-0.2289,-0.4822,0.633
1.041647,0.4201,-0.2368,-0.5272,0.714
1.045996,0.4590,-0.2870,-0.4927,0.732
1.051245,0.4879,-0.2864,-0.5455,0.786
1.056378,0.4806,-0.2994,-0.6302,0.847
1.061984,0.4779,-0.3379,-0.6018,0.840
1.066468,0.4037,-0.3065,-0.6206,0.801
1.071394,0.3512,-0.2748,-0.6386,0.779
1.076388,0.2871,-0.2713,-0.6157,0.731
1.082494,0.1972,-0.2246,-0.6403,0.707
