time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002882,-0.06,0.00,0.05
0.003214,-0.06,0.01,0.04
0.003731,-0.04,0.01,0.04
0.008619,-0.03,0.00,0.03
0.013709,-0.01,0.00,0.03
0.019069,0.01,-0.01,0.02
0.023987,0.02,-0.01,0.01
0.029582,0.02,-0.02,0.01
0.034525,0.01,-0.03,0.01
0.039165,0.01,-0.03,0.00
0.044003,0.00,-0.03,0.01
0.049677,-0.00,-0.03,0.01
0.054501,-0.00,-0.03,0.01
0.059093,-0.00,-0.02,0.01
0.064148,-0.00,-0.02,0.00
0.069442,0.00,-0.01,0.00
0.074278,0.01,-0.01,0.00
0.079329,0.01,-0.00,0.00
0.084689,0.02,0.00,-0.00
0.089630,0.02,0.01,-0.00
0.094611,0.02,0.01,-0.00
0.100321,0.02,0.01,-0.00
0.104962,0.01,0.01,0.00
0.118910,0.01,0.01,0.00
0.119366,0.00,0.01,-0.00
0.119861,0.00,0.01,-0.00
0.124553,0.01,0.01,-0.00
0.130378,0.00,0.01,-0.00
0.135938,0.01,0.01,-0.00
0.139826,0.01,0.01,-0.00
0.144799,0.01,0.01,-0.01
0.150850,0.01,0.01,-0.01
0.155567,0.02,0.00,-0.01
0.160702,0.02,0.00,-0.01
0.166027,0.02,0.00,-0.01
0.170335,0.02,0.00,-0.01
0.176073,0.02,-0.00,-0.01
0.180776,0.02,0.00,-0.01
0.185835,0.02,0.00,-0.01
0.190441,0.02,0.00,-0.01
0.195322,0.02,0.00,-0.01
0.200621,0.03,0.01,-0.01
0.205787,0.03,0.01,-0.01
0.219166,0.03,0.00,-0.01
0.219659,0.04,0.00,-0.01
0.221061,0.05,0.01,-0.01
0.225862,0.05,0.01,-0.01
0.232114,0.05,0.01,-0.01
0.237050,0.05,0.01,-0.01
0.240811,0.06,0.01,-0.01
0.245958,0.06,0.01,-0.01
0.251453,0.06,0.01,-0.01
0.256365,0.07,0.01,-0.01
0.261026,0.07,0.01,-0.01
0.266616,0.07,0.02,-0.01
0.271227,0.08,0.02,-0.01
0.276419,0.08,0.02,-0.02
0.281552,0.08,0.02,-0.02
0.286954,0.08,0.02,-0.02
0.291302,0.08,0.02,-0.02
0.296851,0.09,0.02,-0.02
0.301548,0.09,0.02,-0.02
0.307097,0.10,0.01,-0.02
0.311725,0.10,0.01,-0.02
0.317587,0.11,0.02,-0.02
0.321643,0.11,0.02,-0.02
0.336624,0.11,0.02,-0.02
0.337163,0.11,0.03,-0.01
0.337944,0.11,0.03,-0.01
0.341782,0.11,0.04,-0.01
0.346839,0.11,0.04,-0.01
0.352253,0.11,0.05,-0.01
0.357221,0.11,0.06,-0.01
0.361863,0.10,0.06,-0.01
0.367302,0.10,0.07,-0.01
0.372097,0.10,0.07,-0.01
0.377993,0.10,0.07,-0.01
0.382733,0.10,0.07,-0.01
0.387337,0.10,0.08,-0.01
0.392185,0.10,0.08,-0.01
0.397460,0.10,0.08,-0.01
0.402458,0.10,0.08,-0.02
0.407537,0.11,0.08,-0.02
0.412659,0.11,0.08,-0.02
0.417673,0.11,0.08,-0.02
0.422440,0.11,0.08,-0.02
0.427837,0.10,0.09,-0.02
0.433334,0.10,0.10,-0.02
0.437954,0.10,0.10,-0.02
0.442517,0.10,0.10,-0.02
0.449776,0.11,0.11,-0.03
0.452878,0.11,0.11,-0.03
0.458211,0.12,0.12,-0.04
0.464321,0.12,0.13,-0.04
0.468048,0.13,0.13,-0.05
0.473214,0.14,0.14,-0.05
0.478062,0.15,0.16,-0.06
0.483330,0.15,0.17,-0.06
0.487989,0.15,0.18,-0.07
0.493136,0.15,0.20,-0.08
0.499002,0.15,0.21,-0.08
0.503418,0.14,0.23,-0.08
0.508471,0.13,0.24,-0.09
0.513395,0.12,0.25,-0.09
0.518514,0.12,0.26,-0.09
0.523264,0.12,0.27,-0.09
0.528252,0.12,0.28,-0.09
0.534073,0.12,0.28,-0.10
0.538609,0.12,0.29,-0.10
0.543511,0.13,0.30,-0.11
0.549389,0.13,0.31,-0.12
0.553997,0.14,0.32,-0.13
0.559977,0.14,0.34,-0.13
0.563929,0.15,0.35,-0.14
0.568740,0.15,0.38,-0.15
0.573798,0.15,0.40,-0.16
0.581399,0.14,0.42,-0.16
0.584639,0.14,0.45,-0.17
0.589148,0.14,0.47,-0.18
0.594913,0.13,0.50,-0.19
0.599449,0.13,0.53,-0.20
0.604218,0.12,0.55,-0.21
0.609217,0.12,0.57,-0.22
0.614337,0.11,0.60,-0.23
0.619379,0.11,0.62,-0.25
0.624187,0.10,0.64,-0.26
0.629371,0.09,0.65,-0.27
0.634920,0.09,0.67,-0.28
0.639601,0.09,0.69,-0.29
0.644691,0.08,0.71,-0.30
0.651142,0.07,0.72,-0.31
0.654643,0.06,0.73,-0.32
0.659717,0.05,0.74,-0.33
0.665319,0.05,0.76,-0.34
0.669721,0.05,0.76,-0.34
0.674896,0.04,0.77,-0.35
0.680304,0.04,0.77,-0.36
0.685096,0.04,0.78,-0.36
0.689709,0.04,0.78,-0.37
0.694855,0.04,0.78,-0.37
0.700242,0.05,0.79,-0.37
0.705034,0.06,0.79,-0.38
0.710236,0.06,0.80,-0.38
0.715309,0.07,0.79,-0.38
0.720378,0.08,0.79,-0.38
0.725196,0.10,0.79,-0.38
0.731701,0.11,0.78,-0.37
0.736199,0.11,0.77,-0.37
0.740678,0.13,0.76,-0.37
0.745336,0.14,0.75,-0.36
0.752764,0.15,0.74,-0.35
0.755553,0.16,0.72,-0.34
0.760853,0.18,0.70,-0.34
0.765857,0.20,0.68,-0.33
0.770678,0.21,0.66,-0.31
0.775856,0.22,0.64,-0.30
0.781029,0.23,0.62,-0.29
0.787205,0.25,0.60,-0.27
0.790692,0.25,0.59,-0.26
0.795959,0.25,0.58,-0.25
0.801494,0.26,0.57,-0.23
0.806124,0.26,0.56,-0.22
0.811820,0.27,0.56,-0.21
0.816150,0.27,0.56,-0.20
0.821147,0.27,0.57,-0.20
0.826354,0.28,0.58,-0.20
0.831291,0.29,0.60,-0.20
0.836746,0.29,0.63,-0.20
0.841385,0.31,0.65,-0.21
0.846498,0.32,0.68,-0.22
0.851892,0.34,0.71,-0.23
0.856632,0.36,0.74,-0.24
0.865361,0.37,0.76,-0.26
0.867479,0.38,0.77,-0.27
