time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001056,-0.03,0.10,0.05
0.002557,-0.07,0.13,0.05
0.006819,-0.10,0.16,0.04
0.012027,-0.11,0.18,0.02
0.017019,-0.13,0.18,0.00
0.022078,-0.13,0.17,-0.01
0.027975,-0.12,0.16,-0.02
0.032267,-0.12,0.14,-0.03
0.037078,-0.10,0.12,-0.03
0.042179,-0.09,0.10,-0.03
0.047909,-0.08,0.08,-0.02
0.052194,-0.06,0.06,-0.01
0.057203,-0.05,0.05,-0.01
0.062981,-0.03,0.04,-0.00
0.067477,-0.01,0.03,0.00
0.072385,-0.00,0.02,-0.00
0.077396,0.00,0.01,0.00
0.082741,0.01,-0.00,-0.00
0.087719,0.01,-0.01,-0.00
0.092532,0.01,-0.00,0.00
0.097707,0.01,0.00,0.00
0.102777,0.00,0.00,0.00
0.110949,0.00,0.01,-0.00
0.113128,0.00,0.01,-0.01
0.117827,0.00,0.01,-0.02
0.123101,0.00,0.01,-0.03
0.128958,0.00,0.01,-0.03
0.133164,0.01,0.02,-0.03
0.138267,0.01,0.02,-0.03
0.143086,0.01,0.02,-0.03
0.148576,0.00,0.03,-0.03
0.153077,0.00,0.04,-0.03
0.159035,-0.01,0.05,-0.03
0.163943,-0.02,0.07,-0.02
0.168241,-0.03,0.08,-0.02
0.173335,-0.04,0.10,-0.03
0.178369,-0.04,0.11,-0.03
0.183936,-0.04,0.13,-0.04
0.188919,-0.05,0.14,-0.04
0.193482,-0.05,0.15,-0.04
0.198618,-0.05,0.16,-0.04
0.203638,-0.05,0.17,-0.04
0.211419,-0.05,0.16,-0.04
0.214329,-0.05,0.16,-0.04
0.218956,-0.05,0.15,-0.04
0.224064,-0.04,0.14,-0.04
0.232264,-0.04,0.13,-0.04
0.234055,-0.04,0.12,-0.04
0.240490,-0.03,0.10,-0.04
0.245493,-0.01,0.08,-0.04
0.249553,-0.00,0.06,-0.04
0.254059,0.00,0.05,-0.04
0.259126,0.01,0.04,-0.03
0.264408,0.01,0.02,-0.03
0.268858,0.02,0.01,-0.03
0.273918,0.02,0.01,-0.03
0.280124,0.02,0.01,-0.03
0.284556,0.02,0.02,-0.03
0.289377,0.02,0.02,-0.03
0.294509,0.02,0.03,-0.04
0.299554,0.02,0.03,-0.04
0.304525,0.01,0.03,-0.04
0.309656,0.01,0.03,-0.04
0.316076,0.01,0.03,-0.05
0.319686,0.01,0.02,-0.04
0.328417,0.01,0.02,-0.04
0.330152,0.00,0.03,-0.04
0.335608,-0.00,0.03,-0.04
0.339944,-0.01,0.03,-0.04
0.345583,-0.01,0.03,-0.03
0.350330,-0.01,0.03,-0.03
0.355080,-0.01,0.04,-0.03
0.359871,-0.01,0.04,-0.03
0.366556,-0.01,0.04,-0.04
0.369924,-0.01,0.04,-0.04
0.376232,-0.02,0.04,-0.04
0.380234,-0.02,0.03,-0.04
0.385504,-0.02,0.04,-0.04
0.390340,-0.01,0.04,-0.04
0.395277,-0.01,0.03,-0.04
0.400346,-0.01,0.03,-0.03
0.405570,-0.01,0.02,-0.04
0.410558,-0.01,0.01,-0.04
0.416698,-0.00,0.00,-0.03
0.420360,-0.01,-0.00,-0.03
0.426125,-0.01,-0.00,-0.03
0.431042,-0.02,-0.00,-0.02
0.435941,-0.02,0.00,-0.03
0.440760,-0.02,0.01,-0.03
0.446357,-0.03,0.01,-0.03
0.451253,-0.03,0.01,-0.03
0.455941,-0.03,0.02,-0.04
0.461485,-0.02,0.02,-0.04
0.466580,-0.02,0.02,-0.04
0.471691,-0.02,0.02,-0.04
0.476314,-0.02,0.02,-0.04
0.483741,-0.02,0.02,-0.04
0.486141,-0.02,0.02,-0.04
0.491361,-0.01,0.02,-0.04
0.497356,-0.02,0.03,-0.04
0.501313,-0.02,0.02,-0.04
0.506682,-0.02,0.02,-0.03
0.511680,-0.03,0.02,-0.03
0.516534,-0.02,0.01,-0.03
0.521312,-0.03,0.01,-0.03
0.526664,-0.03,0.01,-0.03
0.532105,-0.03,0.01,-0.03
0.536534,-0.03,0.00,-0.03
0.541661,-0.03,0.00,-0.04
0.547151,-0.03,-0.00,-0.04
0.551935,-0.03,-0.00,-0.04
0.557129,-0.03,-0.00,-0.05
0.561851,-0.03,0.00,-0.04
0.567265,-0.03,-0.00,-0.04
0.572324,-0.03,-0.00,-0.04
0.578591,-0.03,-0.00,-0.04
0.583309,-0.03,0.00,-0.04
0.587316,-0.03,0.00,-0.04
0.593256,-0.03,0.00,-0.04
0.597344,-0.03,0.01,-0.04
0.602089,-0.02,0.01,-0.05
0.607085,-0.02,0.01,-0.05
0.612153,-0.02,0.01,-0.05
0.617564,-0.02,0.01,-0.05
0.622160,-0.01,0.01,-0.05
0.627433,-0.02,0.00,-0.05
0.632651,-0.01,-0.00,-0.05
0.637453,-0.01,-0.01,-0.05
0.643022,-0.01,-0.02,-0.05
0.647837,-0.01,-0.03,-0.05
0.652593,-0.01,-0.03,-0.05
0.657681,-0.01,-0.03,-0.05
0.662703,-0.01,-0.03,-0.04
0.668216,-0.02,-0.02,-0.04
0.672744,-0.02,-0.02,-0.04
0.677872,-0.03,-0.01,-0.04
0.682850,-0.04,-0.00,-0.04
0.687962,-0.04,-0.00,-0.04
0.693502,-0.05,0.00,-0.04
0.698170,-0.06,0.01,-0.04
0.702933,-0.06,0.01,-0.04
0.708075,-0.06,0.01,-0.05
0.713169,-0.06,0.01,-0.05
0.718738,-0.05,0.00,-0.04
0.723112,-0.05,0.00,-0.05
0.728730,-0.04,0.00,-0.04
0.733654,-0.04,-0.01,-0.04
0.738581,-0.03,-0.01,-0.04
0.743577,-0.02,-0.01,-0.04
0.748790,-0.01,-0.02,-0.04
0.753764,-0.01,-0.02,-0.05
0.758545,-0.00,-0.02,-0.05
0.763729,-0.00,-0.02,-0.05
0.769055,-0.00,-0.02,-0.05
0.773514,-0.00,-0.02,-0.05
0.778662,-0.01,-0.02,-0.05
0.783630,-0.02,-0.01,-0.05
0.788856,-0.02,-0.01,-0.05
0.794021,-0.02,-0.01,-0.05
0.798994,-0.03,-0.01,-0.05
0.805313,-0.03,-0.00,-0.05
0.809136,-0.03,-0.00,-0.05
0.814301,-0.03,-0.00,-0.06
0.819115,-0.03,-0.00,-0.06
0.824017,-0.03,-0.00,-0.06
0.829373,-0.03,-0.00,-0.06
0.834797,-0.02,-0.00,-0.06
0.839349,-0.03,-0.01,-0.06
