time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002935,0.02,-0.04,0.02
0.003186,-0.02,-0.02,0.02
0.006858,-0.04,-0.00,0.02
0.011851,-0.05,0.01,0.02
0.017186,-0.06,0.01,0.02
0.022190,-0.05,0.01,0.01
0.033737,-0.04,0.01,0.01
0.034192,-0.03,0.01,0.00
0.038965,-0.02,0.00,0.00
0.050920,-0.01,-0.00,0.00
0.051419,-0.00,-0.00,-0.00
0.052181,0.00,-0.01,0.00
0.057673,0.00,-0.01,0.00
0.062771,0.01,-0.01,0.01
0.067405,0.01,-0.01,0.01
0.072136,0.01,-0.01,0.01
0.077290,0.01,-0.01,0.01
0.082646,0.01,-0.01,0.01
0.087783,0.02,-0.01,0.01
0.093425,0.02,-0.01,0.01
0.098532,0.02,-0.00,0.01
0.102928,0.02,-0.01,0.01
0.108075,0.02,-0.00,0.01
0.112608,0.03,-0.00,0.01
0.117765,0.03,0.00,0.01
0.122697,0.03,-0.00,0.01
0.127757,0.03,0.00,0.01
0.133264,0.02,0.01,0.00
0.137841,0.01,0.02,-0.00
0.143529,-0.00,0.03,-0.00
0.148299,-0.01,0.04,-0.01
0.153188,-0.02,0.06,-0.01
0.158482,-0.02,0.08,-0.02
0.163106,-0.02,0.11,-0.03
0.168145,-0.02,0.13,-0.06
0.173073,-0.03,0.15,-0.08
0.178473,-0.04,0.18,-0.11
0.183618,-0.05,0.22,-0.14
0.188201,-0.06,0.25,-0.16
0.201838,-0.08,0.29,-0.18
0.202329,-0.10,0.34,-0.20
0.203535,-0.12,0.39,-0.22
0.209101,-0.13,0.44,-0.22
0.213875,-0.15,0.48,-0.23
0.219221,-0.16,0.51,-0.23
0.224013,-0.17,0.52,-0.23
0.228886,-0.18,0.52,-0.24
0.234621,-0.18,0.54,-0.24
0.238792,-0.18,0.55,-0.25
0.244295,-0.16,0.54,-0.26
0.249001,-0.14,0.53,-0.26
0.253780,-0.10,0.53,-0.27
0.260261,-0.06,0.51,-0.27
0.264468,-0.02,0.50,-0.26
0.269126,0.03,0.48,-0.26
0.274079,0.07,0.48,-0.26
0.279263,0.11,0.48,-0.25
0.284367,0.14,0.47,-0.25
0.289066,0.15,0.46,-0.26
0.294304,0.15,0.46,-0.27
0.299710,0.15,0.45,-0.28
0.304194,0.13,0.45,-0.28
0.310280,0.11,0.45,-0.28
0.314733,0.09,0.44,-0.29
0.319754,0.07,0.44,-0.29
0.324894,0.06,0.44,-0.29
0.329568,0.06,0.44,-0.29
0.334764,0.06,0.45,-0.31
0.339696,0.06,0.46,-0.32
0.352328,0.07,0.47,-0.34
0.352719,0.08,0.48,-0.36
0.354720,0.10,0.49,-0.38
0.360439,0.11,0.49,-0.41
0.366521,0.12,0.50,-0.43
0.370221,0.12,0.51,-0.47
0.375250,0.12,0.51,-0.50
0.380505,0.11,0.51,-0.53
0.385324,0.10,0.51,-0.55
0.390044,0.08,0.51,-0.58
