time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003196,0.2178,0.1937,-0.4836,0.565
0.003741,0.1771,0.1072,0.0518,0.213
0.004770,0.1030,0.0428,0.5310,0.543
0.010222,0.0432,0.0368,0.8478,0.850
0.015364,-0.0309,-0.0209,1.0283,1.029
0.019144,-0.0857,-0.0704,1.0055,1.012
0.035396,-0.1453,-0.0831,0.8683,0.884
0.035915,-0.1498,-0.0664,0.6388,0.660
0.036095,-0.1352,-0.0733,0.3417,0.375
0.040086,-0.1278,-0.0586,0.0682,0.156
0.045370,-0.0605,-0.0441,-0.0616,0.097
0.049927,-0.0483,-0.0347,-0.1192,0.133
0.054927,-0.0193,-0.0232,-0.2052,0.207
0.059763,0.0407,-0.0549,-0.2141,0.225
0.065746,0.0744,-0.0438,-0.2081,0.225
0.070023,0.0769,-0.0327,-0.1778,0.196
0.074918,0.0722,-0.0024,-0.1614,0.177
0.079646,0.0698,0.0278,-0.1470,0.165
0.085075,0.0507,0.0628,-0.1586,0.178
0.092127,-0.0115,0.0835,-0.1628,0.183
0.095742,-0.0448,0.0921,-0.1525,0.184
0.099877,-0.0662,0.0960,-0.1089,0.160
0.105045,-0.0875,0.0733,-0.1085,0.158
0.110287,-0.0873,0.0626,-0.0867,0.138
0.115327,-0.0774,0.0614,-0.0437,0.108
0.120334,-0.0532,0.0339,-0.0129,0.064
0.127798,-0.0434,0.0233,0.0273,0.056
0.131183,-0.0001,-0.0112,0.0266,0.029
0.135668,0.0168,-0.0408,-0.0102,0.045
0.144866,0.0241,-0.0391,-0.0638,0.079
0.145749,0.0577,-0.0325,-0.0574,0.088
0.151371,0.0626,-0.0378,-0.0436,0.085
0.155493,0.0746,-0.0504,-0.0632,0.110
0.160717,0.0913,-0.0508,-0.1090,0.151
0.165898,0.0482,-0.0176,-0.1139,0.125
0.171275,0.0171,-0.0539,-0.0949,0.110
0.175560,0.0196,-0.0663,-0.0566,0.089
0.181022,0.0603,-0.0573,-0.0473,0.096
0.186188,0.0316,-0.0482,-0.0787,0.098
0.195009,0.0102,-0.0749,-0.0717,0.104
0.195893,-0.0185,-0.0825,-0.0576,0.102
0.200907,-0.0184,-0.0565,-0.0579,0.083
0.206292,0.0009,-0.0449,-0.0582,0.074
0.211718,-0.0301,-0.0526,-0.0825,0.102
0.215977,-0.0372,-0.0649,-0.0828,0.112
0.222138,-0.0610,-0.0462,-0.0711,0.104
0.226218,-0.0680,-0.0515,-0.0763,0.114
0.232230,-0.0103,-0.0497,-0.0552,0.075
0.237294,0.0209,-0.0385,-0.0294,0.053
