time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002856,-0.28,0.07,0.06
0.003194,-0.24,0.06,0.06
0.007989,-0.19,0.05,0.05
0.012911,-0.14,0.03,0.03
0.018545,-0.07,0.01,0.01
0.024327,-0.01,-0.00,-0.00
0.031658,0.05,-0.01,-0.02
0.033760,0.09,-0.02,-0.03
0.038348,0.11,-0.02,-0.03
0.044803,0.11,-0.02,-0.04
0.048566,0.11,-0.02,-0.04
0.055366,0.09,-0.02,-0.03
0.058296,0.06,-0.02,-0.03
0.063290,0.03,-0.01,-0.02
0.069316,0.00,0.00,-0.01
0.073486,-0.02,0.01,-0.00
0.078564,-0.04,0.02,0.00
0.083926,-0.05,0.02,0.00
0.088616,-0.05,0.02,0.01
0.094519,-0.05,0.02,0.01
0.098802,-0.04,0.02,0.00
0.103765,-0.03,0.01,-0.00
0.108798,-0.01,0.01,-0.00
0.114996,0.00,0.01,-0.00
0.119082,0.01,0.01,-0.01
0.123818,0.03,0.00,-0.01
0.135812,0.03,0.00,-0.01
0.136229,0.03,-0.00,-0.01
0.139329,0.03,-0.00,-0.01
0.144266,0.04,0.00,-0.01
0.149601,0.04,0.01,-0.01
0.154893,0.03,0.01,-0.02
0.159429,0.02,0.01,-0.01
0.164285,0.02,0.01,-0.01
0.169690,0.02,0.02,-0.01
0.174444,0.02,0.02,-0.01
0.179725,0.02,0.03,-0.01
0.184641,0.02,0.03,-0.01
0.189768,0.02,0.03,-0.01
0.194617,0.02,0.03,-0.01
0.200579,0.02,0.03,-0.01
0.205778,0.02,0.03,-0.01
0.211436,0.02,0.02,-0.01
0.214903,0.03,0.02,-0.01
0.220056,0.03,0.02,-0.01
0.224847,0.03,0.03,-0.01
0.233756,0.03,0.03,-0.01
0.235817,0.04,0.03,-0.01
0.240081,0.04,0.04,-0.01
0.253133,0.04,0.04,-0.02
0.253635,0.05,0.04,-0.02
0.255323,0.05,0.05,-0.02
0.261212,0.05,0.05,-0.02
0.265357,0.05,0.05,-0.02
0.271186,0.06,0.06,-0.03
0.275310,0.06,0.06,-0.03
0.280646,0.06,0.06,-0.03
0.285641,0.06,0.06,-0.03
0.290594,0.06,0.07,-0.03
0.295611,0.06,0.07,-0.02
