time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005110,0.1654,-0.0146,-0.2951,0.339
0.005739,0.1712,-0.0391,-0.1524,0.233
0.005933,0.1224,-0.0467,-0.0103,0.131
0.012252,0.0739,0.0171,0.0519,0.092
0.014602,0.0211,0.0400,0.0347,0.057
0.019868,0.0044,0.0889,0.0580,0.106
0.026879,-0.0217,0.0804,0.0763,0.113
0.034508,-0.0381,0.0671,0.0587,0.097
0.034789,-0.0472,0.0730,0.0174,0.089
0.039895,-0.0088,0.0219,0.0120,0.026
0.045237,-0.0110,-0.0074,0.0115,0.018
0.050720,0.0129,-0.0220,0.0135,0.029
0.055255,0.0461,-0.0506,-0.0177,0.071
0.060585,0.0623,-0.0549,0.0322,0.089
0.065478,0.0760,-0.0663,0.0747,0.126
0.070324,0.0849,-0.0608,0.0217,0.107
0.076907,0.0580,-0.0293,0.0050,0.065
0.080895,0.0124,-0.0006,-0.0114,0.017
0.085749,0.0147,-0.0079,-0.0559,0.058
0.090803,0.0479,-0.0296,-0.0595,0.082
0.095546,0.0071,0.0106,0.0248,0.028
0.100682,-0.0238,0.0457,0.0395,0.065
0.106212,-0.0330,0.0071,0.0563,0.066
0.111100,-0.0351,0.0233,0.0679,0.080
0.116536,-0.0205,-0.0058,0.0366,0.042
0.121182,-0.0464,0.0128,0.0505,0.070
0.126422,-0.0318,-0.0090,0.0595,0.068
0.130444,-0.0101,0.0074,0.1086,0.109
0.135877,-0.0100,-0.0379,0.0647,0.076
0.140656,0.0210,-0.0330,0.0734,0.083
0.146303,0.0422,0.0004,0.0632,0.076
0.152565,0.0418,0.0146,0.0244,0.051
0.156124,0.0629,-0.0141,0.0360,0.074
0.161340,0.0529,-0.0378,0.0524,0.083
0.166856,0.0572,-0.0567,0.0165,0.082
0.171364,0.0710,-0.0539,0.0332,0.095
0.176774,0.0775,-0.0417,0.0405,0.097
0.181110,0.0341,-0.0534,0.0169,0.066
0.186817,0.0030,-0.0245,-0.0040,0.025
0.191552,0.0433,-0.0219,0.0016,0.049
0.196284,0.0430,-0.0170,0.0453,0.065
0.201340,-0.0073,-0.0002,0.0625,0.063
0.206850,-0.0262,-0.0311,0.0748,0.085
0.212605,0.0120,-0.0426,0.0561,0.071
0.217675,-0.0024,-0.0185,0.0351,0.040
0.222006,-0.0285,-0.0492,0.0523,0.077
0.228255,0.0288,-0.0748,0.0694,0.106
0.232966,0.0309,-0.1074,0.1124,0.159
0.236940,0.0449,-0.1635,0.0719,0.184
0.241981,0.0754,-0.1619,0.0532,0.186
0.247449,0.0937,-0.2027,0.0942,0.242
0.251738,0.0762,-0.2528,0.1018,0.283
0.256965,0.1088,-0.2690,0.1451,0.324
0.262265,0.1196,-0.2919,0.1621,0.355
0.267548,0.1043,-0.3027,0.1293,0.345
0.272346,0.1223,-0.3227,0.1966,0.397
0.277059,0.1164,-0.3566,0.2564,0.454
0.283530,0.0891,-0.3235,0.2493,0.418
0.288312,0.0597,-0.3117,0.2328,0.394
0.294031,0.0566,-0.3022,0.2831,0.418
0.297128,0.0202,-0.3212,0.2878,0.432
0.302579,0.0388,-0.3186,0.2782,0.425
0.307803,0.0121,-0.2921,0.3114,0.427
0.312813,0.0212,-0.3178,0.3231,0.454
0.317518,0.0160,-0.3195,0.3749,0.493
0.322838,0.0369,-0.3091,0.3716,0.485
0.329346,0.0220,-0.2631,0.2899,0.392
0.333558,0.0049,-0.2745,0.2964,0.404
0.338921,0.0520,-0.2810,0.3477,0.450
0.345336,0.0703,-0.2733,0.3201,0.427
0.348162,0.0599,-0.2941,0.2951,0.421
0.353156,0.0875,-0.2790,0.2870,0.410
0.357857,0.0769,-0.2734,0.2814,0.400
0.363404,0.1021,-0.2631,0.3212,0.428
0.368642,0.0747,-0.2506,0.3322,0.423
0.373420,0.0476,-0.2287,0.3791,0.445
0.377916,0.0801,-0.2166,0.3710,0.437
0.383446,0.0910,-0.2117,0.4367,0.494
0.388741,0.0543,-0.2092,0.4473,0.497
0.394059,0.0677,-0.2257,0.4839,0.538
0.398122,0.0502,-0.2255,0.5080,0.558
0.403406,0.0542,-0.2254,0.5175,0.567
0.408685,0.0415,-0.1873,0.5124,0.547
0.413669,0.0384,-0.1756,0.4787,0.511
0.418575,0.0544,-0.1786,0.4642,0.500
0.423556,0.0537,-0.1603,0.4688,0.498
0.428589,0.0743,-0.1518,0.4639,0.494
0.433740,0.0901,-0.1365,0.4423,0.472
0.438936,0.0464,-0.1406,0.4923,0.514
0.443707,0.0505,-0.1044,0.5587,0.571
0.449202,0.0737,-0.0926,0.5532,0.566
0.453840,0.0943,-0.1001,0.5334,0.551
0.458884,0.0364,-0.1080,0.6016,0.612
0.464137,0.0527,-0.0329,0.6216,0.625
0.469139,0.0689,0.0223,0.6342,0.638
0.473762,0.0564,0.0363,0.6253,0.629
0.479520,0.0631,0.0616,0.6376,0.644
0.483968,0.0366,0.1219,0.6949,0.706
0.489393,0.0412,0.1648,0.7063,0.726
0.494606,0.0030,0.2093,0.7031,0.734
0.499356,0.0009,0.2080,0.7046,0.735
0.504155,-0.0321,0.2633,0.6940,0.743
0.509496,-0.0315,0.2821,0.6690,0.727
0.514729,-0.0167,0.2956,0.6845,0.746
0.519466,-0.0280,0.2706,0.6950,0.746
0.524551,-0.0155,0.2764,0.6697,0.725
0.529812,-0.0030,0.2391,0.6897,0.730
0.534738,-0.0642,0.2398,0.6880,0.731
0.539819,-0.0133,0.2213,0.6719,0.708
0.544519,-0.0174,0.1883,0.7057,0.731
0.549657,-0.0262,0.2292,0.7056,0.742
0.554677,-0.0468,0.2029,0.7314,0.760
0.559564,-0.0862,0.2456,0.7446,0.789
0.565601,-0.1182,0.2449,0.7192,0.769
0.570310,-0.1261,0.2532,0.7147,0.769
0.574841,-0.1125,0.2564,0.6813,0.737
0.579560,-0.0658,0.2713,0.7163,0.769
0.584955,-0.0219,0.2786,0.6957,0.750
0.590621,0.0312,0.2761,0.7320,0.783
0.595022,0.1076,0.2878,0.6987,0.763
0.599998,0.1952,0.2804,0.6915,0.771
0.604893,0.2346,0.2779,0.6818,0.773
0.613098,0.3092,0.2566,0.7006,0.808
0.615229,0.4164,0.2452,0.7238,0.870
0.620199,0.5012,0.2748,0.7254,0.924
0.625300,0.5521,0.2452,0.6509,0.888
0.631254,0.6096,0.2258,0.6416,0.913
0.635335,0.6784,0.2833,0.6874,1.007
0.640679,0.7205,0.2957,0.6858,1.038
0.645287,0.7930,0.3206,0.7604,1.145
0.651743,0.8269,0.2960,0.8106,1.195
0.655727,0.9150,0.2440,0.7725,1.222
0.661118,0.9714,0.2576,0.6705,1.208
0.665854,0.9845,0.2580,0.5695,1.166
0.671069,1.0187,0.2430,0.4980,1.160
0.676313,1.0003,0.2986,0.4489,1.136
0.680690,0.9439,0.3624,0.3342,1.065
0.685822,0.8379,0.4318,0.2285,0.970
0.692132,0.7113,0.4998,0.2007,0.892
0.695774,0.5882,0.5971,0.1791,0.857
0.701008,0.4707,0.6924,0.1210,0.846
0.705827,0.2686,0.7880,0.0599,0.835
0.713335,0.0800,0.8837,-0.0088,0.887
0.715961,-0.1378,0.9435,-0.1253,0.962
0.721202,-0.3966,1.0483,-0.3007,1.160
0.726142,-0.6008,1.2091,-0.2611,1.375
0.731818,-0.8579,1.3632,-0.2553,1.631
0.736155,-1.0461,1.4056,-0.1857,1.762
0.741318,-1.2112,1.4365,-0.0172,1.879
0.746227,-1.3675,1.4460,0.0685,1.991
0.752111,-1.5080,1.4033,0.2190,2.071
0.756461,-1.4927,1.3321,0.4826,2.058
0.761470,-1.4084,1.2397,0.8102,2.044
0.766806,-1.2629,1.1006,1.1192,2.015
0.771846,-1.0829,0.9842,1.2853,1.948
0.776619,-0.8940,0.8829,1.3408,1.838
0.782252,-0.6789,0.7706,1.3799,1.720
0.787096,-0.4593,0.7597,1.3814,1.642
0.792371,-0.2686,0.7002,1.3962,1.585
0.796774,-0.0350,0.6664,1.3147,1.474
0.801756,0.1767,0.6299,1.3314,1.483
0.806831,0.3522,0.6245,1.3672,1.544
