time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002626,-0.01,0.06,0.03
0.002983,0.00,0.07,0.03
0.007932,0.01,0.07,0.03
0.012392,0.02,0.06,0.03
0.017898,0.02,0.05,0.03
0.026011,0.02,0.02,0.02
0.029501,0.02,-0.00,0.01
0.035828,0.02,-0.02,0.01
0.038461,0.02,-0.03,0.00
0.043578,0.03,-0.04,-0.00
0.048173,0.03,-0.04,0.00
0.052877,0.03,-0.04,0.00
0.057760,0.03,-0.03,0.00
0.062668,0.03,-0.02,0.01
0.067982,0.03,-0.01,0.01
0.073996,0.03,0.00,0.02
0.077697,0.02,0.01,0.02
0.082704,0.02,0.01,0.02
0.088382,0.02,0.02,0.02
0.093210,0.02,0.02,0.02
0.098019,0.02,0.03,0.02
0.102887,0.02,0.03,0.02
0.117385,0.03,0.03,0.02
0.117800,0.02,0.03,0.02
0.118443,0.03,0.03,0.02
0.123733,0.03,0.02,0.01
0.128650,0.03,0.02,0.01
0.134448,0.03,0.02,0.01
0.138567,0.04,0.01,0.00
0.144169,0.03,0.01,-0.00
0.148751,0.03,0.01,0.00
0.154717,0.03,0.01,-0.00
0.158964,0.03,0.00,-0.01
0.163640,0.02,0.00,-0.01
0.169198,0.02,0.00,-0.01
0.174018,0.02,0.01,-0.01
0.178823,0.02,0.01,-0.01
0.183873,0.02,0.01,-0.01
0.189135,0.02,0.01,-0.01
0.194196,0.01,0.01,-0.01
0.199111,0.01,0.02,-0.01
0.204357,0.00,0.02,-0.01
0.218061,0.00,0.02,-0.01
0.218499,0.00,0.02,-0.01
0.219379,0.00,0.02,-0.01
0.224088,0.00,0.03,-0.01
0.229394,0.01,0.03,-0.01
0.236176,0.01,0.04,-0.01
0.239643,0.01,0.04,-0.02
0.244972,0.01,0.05,-0.02
0.249713,0.00,0.05,-0.02
0.254825,-0.01,0.06,-0.02
0.259565,-0.02,0.07,-0.01
0.264558,-0.03,0.08,-0.01
0.270085,-0.05,0.09,-0.01
0.274940,-0.06,0.10,-0.01
0.279751,-0.07,0.11,-0.01
0.284696,-0.07,0.13,-0.01
0.291119,-0.07,0.15,-0.01
0.295098,-0.07,0.17,-0.01
0.300174,-0.06,0.19,-0.01
0.305563,-0.05,0.20,-0.01
0.310067,-0.04,0.21,-0.01
0.315014,-0.04,0.21,-0.01
0.320469,-0.03,0.21,-0.01
0.334986,-0.03,0.19,-0.02
0.335669,-0.03,0.17,-0.01
0.335835,-0.03,0.15,-0.01
0.340868,-0.03,0.13,-0.01
