time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002641,0.0070,-0.0066,-0.0729,0.074
0.003356,0.0093,0.0101,-0.0462,0.048
0.007534,-0.0122,0.0314,0.0255,0.042
0.012413,-0.0168,0.0286,0.0277,0.043
0.017155,-0.0357,-0.0003,0.0274,0.045
0.022293,-0.0212,0.0186,0.0317,0.042
0.027837,0.0050,0.0016,0.0502,0.050
0.034113,0.0049,-0.0058,0.0377,0.038
0.036751,0.0119,-0.0035,0.0109,0.017
0.041733,-0.0381,-0.0228,0.0438,0.062
0.047325,0.0191,-0.0015,0.0551,0.058
0.052185,0.0165,-0.0018,0.0402,0.043
0.056894,0.0068,-0.0281,0.0397,0.049
0.061919,0.0305,-0.0044,0.0511,0.060
0.068310,0.0207,-0.0045,0.0124,0.025
0.072636,0.0394,0.0049,0.0026,0.040
0.078688,0.0390,0.0379,0.0142,0.056
0.082564,-0.0041,0.0281,0.0020,0.028
0.087440,0.0363,0.0159,-0.0126,0.042
0.093606,0.0359,0.0348,-0.0246,0.056
0.097454,-0.0048,0.0203,-0.0436,0.048
0.102442,-0.0096,0.0178,-0.0340,0.040
0.107608,0.0071,0.0083,-0.0055,0.012
0.112442,-0.0191,0.0487,-0.0081,0.053
0.120499,0.0048,0.0246,-0.0107,0.027
0.123214,-0.0191,0.0293,-0.0013,0.035
0.127939,-0.0356,0.0433,0.0103,0.057
0.133820,-0.0448,0.0287,0.0646,0.084
0.137528,-0.0707,0.0070,0.0448,0.084
0.143509,-0.0511,-0.0193,0.0465,0.072
0.148268,-0.0270,0.0235,0.0885,0.095
0.153026,-0.0079,-0.0102,0.0328,0.035
0.157662,0.0039,-0.0104,0.0558,0.057
0.162922,-0.0010,-0.0106,0.0192,0.022
0.169047,-0.0106,-0.0107,0.0068,0.016
0.173307,-0.0130,-0.0084,0.0110,0.019
0.178011,-0.0129,0.0057,0.0177,0.023
0.183211,0.0085,-0.0134,-0.0041,0.016
0.188621,-0.0012,-0.0206,-0.0188,0.028
0.195772,0.0106,-0.0086,0.0166,0.021
0.199214,-0.0133,-0.0253,-0.0149,0.032
0.203286,0.0033,-0.0155,-0.0485,0.051
0.208554,-0.0016,-0.0011,-0.0415,0.042
0.213368,-0.0278,0.0108,-0.0655,0.072
0.218249,0.0056,0.0059,-0.0251,0.026
0.223744,-0.0041,-0.0132,-0.0730,0.074
0.228552,-0.0017,-0.0179,-0.0776,0.080
0.233403,-0.0208,0.0154,-0.0205,0.033
0.238636,-0.0136,0.0248,-0.0090,0.030
0.243870,-0.0326,0.0197,-0.0545,0.067
0.249772,-0.0159,0.0148,-0.0499,0.054
0.253546,-0.0182,0.0002,-0.0286,0.034
0.258455,0.0198,-0.0167,-0.0335,0.042
0.263741,-0.0018,-0.0050,-0.0124,0.014
0.268876,-0.0138,0.0090,-0.0199,0.026
0.273989,-0.0044,-0.0153,-0.0155,0.022
0.278615,0.0074,-0.0158,-0.0040,0.018
0.284117,0.0001,-0.0209,0.0146,0.026
0.289352,-0.0119,-0.0403,-0.0239,0.048
0.293836,-0.0048,-0.0097,0.0019,0.011
0.298946,-0.0026,-0.0386,0.0203,0.044
0.304282,-0.0075,-0.0387,-0.0184,0.044
0.309224,0.0043,-0.0129,-0.0164,0.021
0.314166,-0.0078,-0.0181,-0.0312,0.037
0.319340,-0.0150,-0.0327,-0.0173,0.040
0.324634,0.0063,-0.0258,-0.0084,0.028
0.329459,-0.0082,-0.0331,-0.0208,0.040
0.334501,0.0060,-0.0239,0.0216,0.033
0.339464,0.0081,0.0018,0.0041,0.009
0.346016,0.0055,-0.0131,-0.0393,0.042
0.350741,0.0101,-0.0088,-0.0228,0.026
0.354999,-0.0139,-0.0047,-0.0065,0.016
0.360752,-0.0045,0.0018,0.0215,0.022
0.364555,-0.0070,0.0082,0.0160,0.019
0.369874,0.0356,0.0170,0.0438,0.059
0.375088,-0.0052,0.0255,-0.0024,0.026
0.379704,0.0112,0.0269,0.0206,0.036
0.384952,0.0417,0.0189,0.0242,0.052
0.390438,0.0530,0.0204,0.0398,0.069
0.394800,0.0476,0.0409,0.0480,0.079
0.400260,0.0755,-0.0052,0.0253,0.080
0.405017,0.0984,0.0180,0.0529,0.113
0.410430,0.0689,0.0055,0.0256,0.074
0.415132,0.0444,-0.0141,0.0652,0.080
0.420479,0.0462,-0.0216,0.0380,0.064
0.425595,0.0339,-0.0195,0.0326,0.051
0.430850,0.0335,-0.0125,0.0487,0.060
0.435406,0.0332,-0.0317,0.0506,0.068
0.440128,0.0115,-0.0412,-0.0045,0.043
0.445266,0.0043,-0.0244,0.0597,0.065
0.451225,-0.0005,-0.0078,0.0546,0.055
0.455462,-0.0100,-0.0413,0.0332,0.054
0.460602,-0.0383,-0.0294,0.0308,0.057
0.467338,-0.0261,-0.0034,0.0142,0.030
0.471115,0.0002,0.0080,0.0382,0.039
0.475661,-0.0425,-0.0019,0.0072,0.043
0.480663,-0.0065,0.0263,0.0503,0.057
0.485724,-0.0135,0.0019,0.0003,0.014
0.491276,-0.0182,0.0085,0.0149,0.025
0.496243,-0.0251,0.0128,0.0224,0.036
0.501032,-0.0058,0.0265,0.0012,0.027
0.505873,-0.0390,0.0138,0.0017,0.041
