time,wx (rad/s),wy (rad/s),wz (rad/s)
0.003669,-0.03,0.03,0.01
0.004027,-0.02,0.02,0.01
0.005781,-0.02,0.01,0.01
0.011377,-0.02,0.00,0.01
0.015809,-0.01,-0.00,0.01
0.020886,-0.01,-0.01,0.00
0.026007,-0.01,-0.01,0.01
0.031006,-0.00,-0.01,0.00
0.035832,0.00,-0.01,0.00
0.042676,0.01,-0.01,0.00
0.046796,0.01,-0.01,0.00
0.051270,0.01,-0.01,0.01
0.056658,0.01,-0.00,0.01
0.061457,0.01,-0.00,0.01
0.066487,0.01,-0.00,0.01
0.071123,0.00,-0.00,0.01
0.083533,0.00,-0.00,0.02
0.084117,-0.00,0.00,0.02
0.086367,0.00,-0.00,0.02
0.092610,0.00,-0.01,0.01
0.096650,0.01,-0.00,0.01
0.101864,0.01,-0.00,0.01
0.106822,0.01,-0.00,0.01
0.112100,0.01,-0.00,0.01
0.116993,0.01,-0.00,0.01
0.121905,0.01,0.00,0.01
0.126970,0.00,0.00,0.00
0.132174,-0.00,0.01,0.00
0.136841,-0.01,0.01,0.00
0.142776,-0.01,0.01,0.00
0.147534,-0.01,0.01,-0.00
0.152076,-0.01,0.01,0.00
0.157023,-0.01,0.00,0.00
0.163590,-0.00,-0.00,0.00
0.167767,-0.00,-0.01,0.00
0.172182,-0.00,-0.00,0.01
0.183853,-0.00,-0.00,0.01
0.184222,0.00,-0.01,0.01
0.187763,0.00,-0.01,0.01
0.192949,0.00,-0.01,0.01
0.199044,0.00,-0.01,0.02
0.202961,-0.00,-0.01,0.02
0.208065,0.00,-0.01,0.02
0.212678,0.01,-0.00,0.02
0.217731,0.01,-0.00,0.02
0.222731,0.00,0.00,0.01
0.231329,0.01,-0.00,0.02
0.233028,0.01,0.00,0.02
0.237785,0.01,0.00,0.01
0.243235,0.01,0.01,0.01
0.248116,0.01,0.01,0.01
0.252930,0.01,0.01,0.02
0.257875,0.01,0.03,0.02
0.263325,0.01,0.03,0.02
0.268601,0.00,0.02,0.02
0.273587,0.01,0.01,0.02
0.284062,0.00,0.00,0.02
0.284508,0.00,-0.00,0.01
0.288425,0.00,-0.00,0.02
0.293568,-0.00,0.00,0.02
0.298758,-0.01,-0.00,0.02
0.303847,-0.01,-0.00,0.02
0.310342,-0.00,-0.01,0.02
