time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002226,0.2373,-0.1827,-0.1241,0.324
0.002772,0.1513,-0.1254,0.2187,0.294
0.005082,0.0969,-0.1060,0.5310,0.550
0.013453,0.0336,-0.0576,0.6982,0.701
0.015007,0.0066,-0.0614,0.7826,0.785
0.020317,-0.0580,-0.0360,0.8039,0.807
0.025311,-0.0434,-0.0745,0.7669,0.772
0.038314,-0.0453,-0.0930,0.6961,0.704
0.039059,-0.0398,-0.1180,0.6153,0.628
0.040321,-0.0461,-0.1140,0.4798,0.495
0.045552,-0.0902,-0.1311,0.3306,0.367
0.053163,-0.0745,-0.1193,0.2225,0.263
0.055447,-0.0873,-0.1051,0.1149,0.179
0.061171,-0.0809,-0.0766,0.0912,0.144
0.068298,-0.0817,-0.0532,0.0080,0.098
0.071201,-0.0611,-0.0442,-0.0868,0.115
0.075756,-0.0714,-0.0237,-0.1411,0.160
0.081908,-0.0651,-0.0109,-0.3046,0.312
0.086192,-0.0659,0.0014,-0.4289,0.434
0.091212,-0.0098,0.0416,-0.4955,0.497
0.095746,0.0126,0.0407,-0.5904,0.592
0.101410,0.0181,0.0510,-0.7464,0.748
0.106216,0.0329,0.0584,-0.8299,0.833
0.111274,0.0286,0.0794,-0.8792,0.883
0.116327,0.0502,0.0496,-0.9871,0.990
0.121287,0.0311,0.0316,-0.9892,0.990
0.126610,0.0286,0.0344,-0.9883,0.989
0.131425,0.0497,0.0437,-1.0033,1.005
0.136925,0.0419,0.0784,-0.8726,0.877
0.141353,0.0315,0.0673,-0.7279,0.732
0.146697,0.0093,0.0581,-0.5889,0.592
0.152270,-0.0152,0.0509,-0.4628,0.466
0.164061,-0.0182,0.0433,-0.2857,0.289
0.164744,-0.0308,0.0140,-0.1339,0.138
0.166586,-0.0455,0.0203,-0.0361,0.062
0.172013,-0.0435,0.0028,0.0414,0.060
0.176873,-0.0200,-0.0170,0.1202,0.123
0.181657,-0.0204,-0.0509,0.1908,0.199
0.186685,-0.0112,-0.0322,0.2628,0.265
0.191818,0.0003,-0.0539,0.2888,0.294
0.197064,0.0118,-0.0681,0.3168,0.324
0.201963,-0.0099,-0.0796,0.3395,0.349
0.207076,0.0042,-0.0409,0.3572,0.360
0.212603,0.0111,-0.0189,0.3533,0.354
0.217675,-0.0034,-0.0325,0.3802,0.382
0.222206,-0.0463,-0.0291,0.3667,0.371
0.228162,-0.0151,-0.0398,0.3700,0.372
0.232135,-0.0199,-0.0312,0.4021,0.404
0.237515,-0.0127,-0.0200,0.3865,0.387
0.242444,-0.0127,-0.0442,0.3949,0.398
0.247503,-0.0055,-0.0442,0.3560,0.359
0.252574,-0.0102,-0.0368,0.3770,0.379
0.257430,0.0207,-0.0195,0.3433,0.344
0.262463,0.0111,-0.0186,0.3217,0.322
0.267556,-0.0411,-0.0057,0.2434,0.247
0.273391,-0.0431,0.0003,0.2039,0.208
0.278694,-0.0235,0.0232,0.1886,0.191
0.282473,-0.0422,0.0175,0.1544,0.161
0.287682,-0.0583,0.0285,0.1205,0.137
0.292798,-0.0148,0.0205,0.1129,0.116
0.297628,-0.0002,-0.0110,0.1028,0.103
0.302585,0.0262,-0.0231,0.0688,0.077
0.307621,0.0382,-0.0018,0.0468,0.060
0.313482,0.0407,0.0027,0.0390,0.056
0.317878,0.0361,0.0146,0.0048,0.039
0.322842,0.0245,0.0480,-0.0768,0.094
0.328395,0.0224,0.0525,-0.1031,0.118
0.333100,-0.0010,0.0665,-0.1814,0.193
0.338270,-0.0243,0.0611,-0.2280,0.237
0.342834,-0.0522,0.0460,-0.2978,0.306
0.347996,-0.0491,0.0330,-0.3619,0.367
0.353320,-0.0176,0.0458,-0.3516,0.355
0.358297,-0.0317,0.0010,-0.3981,0.399
0.363196,-0.0647,0.0156,-0.3800,0.386
0.368684,-0.0216,0.0106,-0.2763,0.277
0.373510,0.0165,0.0127,-0.2329,0.234
0.378302,0.0162,-0.0280,-0.2043,0.207
0.383280,-0.0006,-0.0042,-0.1621,0.162
0.388850,0.0375,0.0170,-0.1373,0.143
0.393910,0.0443,0.0358,-0.1319,0.144
0.398446,0.0250,0.0662,-0.1742,0.188
0.403503,0.0154,0.0868,-0.1688,0.190
0.408645,0.0201,0.0572,-0.1065,0.123
0.413990,0.0271,0.0396,-0.0755,0.089
0.418773,0.0340,0.0504,-0.0469,0.077
0.423799,0.0193,0.0371,-0.0159,0.045
0.428851,0.0166,0.0119,0.0697,0.073
0.434489,0.0353,0.0154,0.1025,0.110
0.439046,0.0181,0.0210,0.1637,0.166
0.443863,-0.0251,0.0123,0.2005,0.202
0.448906,-0.0037,-0.0129,0.1964,0.197
0.454714,0.0057,-0.0187,0.1923,0.193
0.459188,0.0031,-0.0244,0.1287,0.131
0.464057,0.0006,-0.0656,0.0987,0.119
0.469033,-0.0066,-0.0612,0.0902,0.109
0.474475,0.0100,-0.0447,0.0700,0.084
0.479031,0.0123,-0.0544,0.0785,0.096
0.484135,0.0075,-0.0614,0.0655,0.090
0.489705,0.0145,-0.0540,0.0339,0.065
0.495277,-0.0093,-0.0584,0.0477,0.076
0.499425,-0.0022,-0.0296,0.0426,0.052
0.504907,-0.0165,-0.0296,0.0614,0.070
0.509878,0.0074,-0.0152,0.0492,0.052
0.514966,0.0144,-0.0270,0.0206,0.037
0.519698,0.0214,-0.0101,0.0207,0.031
0.524546,-0.0050,-0.0075,0.0137,0.016
0.529785,-0.0050,-0.0072,0.0140,0.016
0.535197,0.0330,-0.0118,0.0166,0.039
0.539954,0.0399,0.0028,-0.0165,0.043
0.545277,0.0396,-0.0064,-0.0399,0.057
0.549872,0.0012,0.0438,-0.0108,0.045
0.555085,0.0179,0.0295,-0.0342,0.049
0.559869,0.0438,0.0175,-0.0599,0.076
0.565340,0.0269,-0.0110,-0.0759,0.081
0.570258,0.0219,-0.0013,-0.0776,0.081
0.575234,0.0146,0.0155,-0.0793,0.082
0.581054,0.0407,-0.0033,-0.1024,0.110
0.585416,0.0237,-0.0246,-0.0850,0.092
0.590602,0.0069,0.0042,-0.0750,0.075
0.595728,0.0164,0.0209,-0.1268,0.130
0.600178,0.0400,0.0301,-0.1116,0.122
0.605949,0.0088,0.0106,-0.1250,0.126
0.610797,0.0063,0.0151,-0.1097,0.111
0.617576,-0.0033,0.0052,-0.1016,0.102
0.620795,-0.0010,0.0000,-0.0720,0.072
0.626404,0.0013,0.0067,-0.0712,0.072
0.630560,-0.0107,-0.0034,-0.0444,0.046
0.635746,0.0035,-0.0158,-0.0391,0.042
0.640867,0.0177,-0.0162,-0.0198,0.031
0.646064,0.0222,0.0119,-0.0125,0.028
0.650861,0.0148,0.0066,-0.0505,0.053
0.656529,0.0146,-0.0105,-0.0240,0.030
0.660918,0.0239,-0.0203,-0.0166,0.036
0.666065,0.0213,-0.0157,-0.0450,0.052
0.671110,0.0258,-0.0017,-0.0137,0.029
0.676826,0.0065,-0.0019,0.0175,0.019
0.681021,-0.0031,-0.0068,0.0318,0.033
0.686615,0.0064,-0.0068,0.0342,0.035
0.691032,0.0039,0.0003,0.0580,0.058
0.696905,0.0062,0.0050,0.0792,0.080
0.702385,0.0013,-0.0260,0.0646,0.070
0.706544,0.0203,0.0123,0.0643,0.069
0.712366,0.0011,0.0052,0.0428,0.043
0.716979,-0.0132,0.0005,-0.0023,0.013
0.721677,-0.0179,0.0005,-0.0090,0.020
0.726787,-0.0154,-0.0398,-0.0276,0.051
0.731460,0.0036,-0.0084,-0.0197,0.022
0.736847,0.0297,-0.0034,-0.0381,0.048
0.741601,0.0104,-0.0269,-0.0919,0.096
0.748038,0.0031,-0.0027,-0.0596,0.060
0.751456,0.0007,-0.0025,-0.0776,0.078
0.757110,-0.0018,-0.0331,-0.0882,0.094
0.762641,0.0005,0.0006,-0.0701,0.070
0.767091,0.0005,-0.0206,-0.0571,0.061
0.771996,-0.0329,-0.0180,-0.0560,0.067
0.777728,-0.0351,-0.0273,-0.0383,0.059
0.781770,-0.0230,-0.0247,-0.0422,0.054
0.787475,-0.0039,-0.0150,-0.0484,0.051
0.792021,0.0127,-0.0054,-0.0404,0.043
0.797709,-0.0112,-0.0339,-0.0516,0.063
0.801860,-0.0064,-0.0408,-0.0296,0.051
0.807025,0.0102,-0.0144,-0.0742,0.076
0.812500,-0.0089,-0.0190,-0.0258,0.033
0.817678,0.0030,-0.0094,0.0223,0.024
0.822325,-0.0066,-0.0094,-0.0061,0.013
0.827361,-0.0019,-0.0283,0.0086,0.030
0.832185,-0.0257,-0.0091,0.0400,0.048
0.838100,0.0314,-0.0114,0.0116,0.035
0.842543,0.0192,0.0008,0.0048,0.020
0.847399,-0.0594,-0.0110,-0.0660,0.089
0.852440,-0.0281,-0.0037,-0.0934,0.098
0.858088,-0.0232,-0.0035,-0.0560,0.061
0.864808,-0.0326,-0.0176,-0.0808,0.089
0.867575,-0.0158,-0.0456,-0.1125,0.122
0.872744,-0.0467,-0.0283,-0.1747,0.183
0.878188,-0.0274,-0.0467,-0.1294,0.140
0.882649,-0.0415,-0.0266,0.0154,0.052
0.888027,-0.0483,0.0029,0.1491,0.157
0.892886,-0.0644,0.0441,0.2287,0.242
0.898509,0.0029,0.0709,0.2783,0.287
0.902829,0.0508,0.1378,0.2033,0.251
0.908055,0.0128,0.1565,0.1285,0.203
0.913321,0.0535,0.1678,0.0332,0.179
0.918559,0.0747,0.1600,-0.0775,0.193
0.923264,0.1004,0.1308,-0.2485,0.298
0.928069,0.0735,0.0639,-0.2937,0.309
0.933249,0.0467,0.0711,-0.3330,0.344
0.938539,0.0153,-0.0308,-0.2928,0.295
0.943300,0.0007,-0.0297,-0.2481,0.250
0.948377,-0.0137,0.0096,-0.1776,0.178
0.954471,-0.0920,-0.0155,-0.1057,0.141
0.958764,-0.1126,0.0286,-0.0824,0.142
0.963697,-0.1044,0.0582,-0.0525,0.131
0.968599,-0.1200,0.0423,-0.0684,0.144
0.973915,-0.0856,0.0454,-0.0321,0.102
0.979533,-0.0491,0.0602,-0.0011,0.078
0.983645,0.0085,0.0582,0.0246,0.064
0.989066,-0.0007,0.0729,-0.0121,0.074
0.993940,0.0685,0.0637,-0.0108,0.094
0.999419,0.0778,0.0473,-0.0218,0.094
1.004083,0.1250,0.0593,-0.0609,0.151
1.008854,0.1621,0.0379,-0.0256,0.168
1.015118,0.2084,0.0070,0.0761,0.222
1.019258,0.2472,-0.0143,0.1771,0.304
1.023992,0.2761,-0.0477,0.2674,0.387
1.029963,0.3262,-0.0357,0.3496,0.479
1.033980,0.3094,-0.0407,0.3831,0.494
1.039604,0.2951,-0.0197,0.3519,0.460
1.044522,0.2524,-0.0086,0.1953,0.319
1.049258,0.1529,0.0023,0.0762,0.171
1.054220,0.0635,-0.0109,-0.0669,0.093
1.060341,0.0008,-0.0099,-0.1556,0.156
1.064509,-0.0496,-0.0472,-0.1383,0.154
1.069858,-0.1069,-0.0938,-0.1064,0.178
1.074570,-0.1352,-0.1137,-0.1409,0.226
1.079924,-0.2037,-0.1265,-0.1181,0.267
1.084542,-0.2454,-0.1486,-0.0933,0.302
1.089994,-0.3153,-0.1538,-0.1304,0.374
1.094607,-0.3632,-0.1898,-0.1294,0.430
1.100121,-0.3774,-0.1850,-0.0597,0.425
1.104929,-0.3439,-0.2419,0.0164,0.421
1.109694,-0.3416,-0.2317,0.0227,0.413
1.114810,-0.3201,-0.2760,0.0853,0.431
1.120314,-0.2107,-0.2722,0.1537,0.377
1.125096,-0.1139,-0.2845,0.1971,0.364
1.129887,-0.0629,-0.2393,0.2372,0.343
1.134908,-0.0549,-0.1823,0.3074,0.362
1.140567,-0.0446,-0.1277,0.3102,0.338
1.145182,-0.0200,-0.0714,0.3344,0.343
1.150364,0.0445,-0.0394,0.3826,0.387
1.155358,0.0562,0.0111,0.3597,0.364
1.160590,0.0558,-0.0128,0.3636,0.368
1.165314,0.0672,0.0229,0.3394,0.347
1.170849,0.0808,-0.0320,0.2800,0.293
1.175825,0.0990,-0.0437,0.2523,0.275
1.181713,0.0933,-0.0456,0.2224,0.245
1.185977,0.0639,-0.0330,0.1239,0.143
1.190607,0.0135,-0.0060,0.0664,0.068
1.195540,-0.0293,0.0140,-0.0002,0.032
1.200765,-0.0621,0.0102,-0.0334,0.071
1.205902,-0.0591,0.0683,-0.0972,0.133
1.211116,-0.0607,0.1044,-0.1654,0.205
1.215773,-0.0482,0.1211,-0.1926,0.233
1.221159,-0.0595,0.1590,-0.2529,0.305
1.225850,-0.0470,0.1396,-0.2437,0.285
1.230873,-0.0369,0.1368,-0.2228,0.264
1.236297,-0.0294,0.1504,-0.2709,0.311
1.241635,0.0185,0.1402,-0.2736,0.308
1.246102,0.0279,0.1491,-0.2668,0.307
1.251107,0.0017,0.1269,-0.2175,0.252
1.256592,0.0279,0.1238,-0.2185,0.253
1.261651,0.0350,0.1160,-0.1720,0.210
1.266261,0.0253,0.0773,-0.1520,0.172
1.271340,0.0299,0.0745,-0.1653,0.184
1.276678,0.0369,0.0598,-0.1238,0.142
1.282855,0.0271,0.0095,-0.0660,0.072
1.288100,0.0174,0.0118,-0.0396,0.045
1.291525,-0.0112,-0.0025,0.0344,0.036
1.297584,-0.0278,-0.0430,0.0507,0.072
1.302227,-0.0370,-0.0213,0.0454,0.062
1.306859,-0.0699,-0.0424,0.0781,0.113
1.311666,-0.0550,-0.0230,0.1056,0.121
1.316711,-0.0379,-0.0394,0.0995,0.114
1.322960,-0.0446,-0.0343,0.1005,0.115
1.327062,-0.0512,-0.0554,0.0706,0.103
1.331614,-0.0507,-0.0763,0.0695,0.115
1.337027,-0.0313,-0.0260,0.0803,0.090
1.342228,-0.0523,-0.0568,0.0625,0.099
1.347354,-0.0209,-0.0564,0.0164,0.062
1.351852,-0.0373,-0.0369,0.0420,0.067
1.357102,-0.0133,-0.0390,0.0629,0.075
1.362166,-0.0368,-0.0577,0.1072,0.127
1.367390,-0.0151,-0.0309,0.0941,0.100
1.372267,-0.0363,-0.0520,0.0597,0.087
1.377263,-0.0050,-0.0775,0.0564,0.096
1.382343,0.0118,-0.0815,0.0887,0.121
1.387473,0.0237,-0.0781,0.0944,0.125
1.392323,0.0285,-0.0960,0.0667,0.120
1.401302,0.0142,-0.0733,0.0605,0.096
1.403178,0.0238,-0.0435,0.0495,0.070
1.408153,0.0358,-0.0521,0.0459,0.078
1.413128,0.0547,-0.0414,0.0421,0.081
1.419075,0.0450,-0.0404,0.0123,0.062
1.423303,0.0568,-0.0394,0.0541,0.088
1.428184,0.0209,-0.0243,0.0432,0.054
1.434679,-0.0004,-0.0236,0.0135,0.027
1.438169,0.0164,-0.0301,-0.0467,0.058
1.443313,0.0401,-0.0249,-0.0278,0.055
1.447939,0.0375,-0.0316,-0.0756,0.090
1.453828,-0.0268,-0.0241,-0.1206,0.126
1.458197,-0.0099,-0.0332,-0.1342,0.139
1.464627,-0.0003,-0.0210,-0.1642,0.166
1.468200,0.0235,-0.0090,-0.1370,0.139
1.473736,0.0114,0.0098,-0.1408,0.142
1.478629,0.0208,-0.0023,-0.1374,0.139
1.483986,-0.0079,0.0070,-0.0817,0.082
1.488475,0.0207,0.0043,-0.1024,0.105
1.493564,0.0062,0.0040,-0.0161,0.018
1.498380,-0.0082,0.0274,-0.0087,0.030
1.503884,-0.0081,0.0387,0.0033,0.040
1.508570,0.0085,0.0096,0.0151,0.020
1.514629,0.0368,0.0400,-0.0110,0.055
1.518894,0.0246,0.0513,0.0082,0.057
1.525032,0.0054,0.0625,0.0414,0.075
1.529627,0.0338,0.0499,0.0458,0.076
1.533768,0.0477,0.0257,0.0551,0.077
1.538958,0.0782,0.0729,0.0238,0.110
1.544796,0.0158,0.0913,0.0188,0.095
1.549089,0.0228,0.0693,0.0329,0.080
1.553898,0.0582,0.0735,0.0184,0.096
1.559197,0.0578,0.1347,0.0371,0.151
1.567350,0.0264,0.0933,-0.0060,0.097
1.569142,0.0334,0.0712,-0.0274,0.083
1.574211,0.0307,0.1063,-0.0558,0.124
1.579166,0.0329,0.1125,-0.0625,0.133
1.584812,0.0540,0.0973,-0.0785,0.136
1.589549,0.0369,0.1132,-0.1038,0.158
1.594354,0.0365,0.1193,-0.1671,0.209
1.599363,0.0267,0.0895,-0.1705,0.194
1.606487,0.0502,0.0910,-0.1903,0.217
1.609975,0.0307,0.0972,-0.2100,0.233
1.615193,0.0470,0.0890,-0.2224,0.244
1.619567,0.0323,0.0832,-0.1680,0.190
1.626277,0.0248,0.0679,-0.1831,0.197
1.630064,0.0340,0.0478,-0.1361,0.148
1.637376,0.0240,0.0517,-0.1249,0.137
1.639525,0.0023,0.0270,-0.0713,0.076
1.644906,0.0092,0.0356,-0.0680,0.077
1.649337,0.0256,-0.0010,-0.0100,0.028
1.654656,0.0039,-0.0086,0.0238,0.026
1.660108,0.0061,-0.0115,0.0500,0.052
1.665492,0.0154,-0.0145,0.0451,0.050
1.669691,-0.0015,-0.0317,0.0616,0.069
1.674911,0.0055,-0.0155,0.0541,0.057
1.680132,-0.0066,0.0007,0.0681,0.068
1.686411,0.0029,-0.0022,0.0843,0.084
1.690117,-0.0210,-0.0146,0.0885,0.092
1.695283,-0.0233,-0.0268,0.0974,0.104
1.702013,-0.0256,0.0134,0.0873,0.092
1.705979,-0.0397,0.0080,0.1770,0.182
1.710645,-0.0419,-0.0210,0.1234,0.132
1.715705,-0.0226,-0.0118,0.0939,0.097
1.720311,-0.0130,-0.0027,0.1074,0.108
1.725825,-0.0177,0.0112,0.0947,0.097
1.730313,-0.0295,-0.0012,0.0318,0.043
1.735769,0.0064,-0.0230,0.0409,0.047
1.741337,-0.0199,-0.0066,0.0001,0.021
1.747337,0.0017,0.0073,-0.0572,0.058
1.750997,0.0088,-0.0027,-0.0547,0.055
1.756233,-0.0341,-0.0031,-0.0853,0.092
1.761242,-0.0102,-0.0085,-0.0348,0.037
1.766020,-0.0078,-0.0329,-0.0513,0.061
1.770560,0.0468,-0.0263,-0.0226,0.058
1.775935,0.0535,-0.0292,-0.0014,0.061
1.781963,0.0506,-0.0179,0.0337,0.063
1.789304,0.0359,0.0076,0.0305,0.048
1.791083,0.0499,0.0045,0.0129,0.052
1.796647,0.0423,0.0134,-0.0140,0.047
1.801072,0.0135,0.0554,-0.0596,0.082
1.807204,-0.0081,0.0852,-0.0335,0.092
1.811260,-0.0247,0.0624,-0.0501,0.084
1.816738,-0.0270,0.0397,-0.0829,0.096
1.821364,-0.0365,0.0170,-0.0724,0.083
1.827442,-0.0460,0.0111,-0.0474,0.067
1.831923,-0.0436,-0.0402,-0.0080,0.060
1.836780,-0.0483,-0.0197,0.0596,0.079
1.841541,-0.0317,-0.0279,0.1172,0.125
1.847501,-0.0435,-0.0168,0.1525,0.159
1.851594,-0.0244,-0.0270,0.1896,0.193
1.857970,-0.0196,-0.0180,0.1810,0.183
1.862003,-0.0456,-0.0374,0.1079,0.123
1.868957,-0.0095,-0.0040,0.0898,0.090
1.874586,-0.0188,0.0006,0.0243,0.031
1.876702,-0.0328,-0.0043,-0.0337,0.047
1.882323,0.0364,0.0217,-0.0483,0.064
1.888102,0.0314,0.0403,-0.0271,0.058
1.891650,0.0454,0.0278,-0.0033,0.053
1.897081,0.0354,0.0436,0.0229,0.061
1.902090,0.0231,0.0473,0.0111,0.054
1.907894,0.0322,0.0296,0.0113,0.045
1.912715,0.0151,-0.0023,0.0163,0.022
1.917237,0.0243,-0.0221,0.0353,0.048
1.922133,-0.0116,0.0011,0.0255,0.028
1.928123,0.0145,0.0074,-0.0081,0.018
1.932453,-0.0047,0.0018,-0.0273,0.028
1.939519,-0.0237,0.0130,-0.0466,0.054
1.942299,-0.0236,-0.0021,-0.1083,0.111
1.947573,-0.0211,0.0091,-0.0840,0.087
1.953152,-0.0424,-0.0110,-0.0693,0.082
1.957518,-0.0517,-0.0142,-0.0333,0.063
1.962731,-0.0466,-0.0199,-0.0474,0.069
1.967699,-0.0227,-0.0398,-0.0018,0.046
1.972666,-0.0250,-0.0524,0.0267,0.064
1.977606,-0.0321,-0.0412,0.0311,0.061
1.984693,-0.0272,-0.0514,0.0545,0.080
1.989985,-0.0556,-0.0210,0.1012,0.117
1.992899,-0.0172,-0.0241,0.0904,0.095
1.997878,0.0066,-0.0342,0.0844,0.091
2.002756,-0.0054,-0.0276,0.0617,0.068
2.008430,0.0018,-0.0401,0.0748,0.085
2.013423,-0.0006,-0.0215,0.0474,0.052
2.017909,0.0089,-0.0173,0.0534,0.057
2.023336,0.0112,-0.0131,0.0690,0.071
2.028958,0.0039,0.0030,0.0679,0.068
2.032971,0.0181,-0.0025,0.0098,0.021
2.038496,0.0107,-0.0270,0.0069,0.030
2.043423,-0.0084,-0.0442,0.0252,0.052
2.049135,-0.0202,-0.0422,0.0197,0.051
2.053222,0.0061,-0.0354,0.0403,0.054
2.058454,0.0013,-0.0309,0.0178,0.036
2.063822,-0.0177,-0.0241,0.0119,0.032
2.069094,-0.0198,-0.0031,0.0462,0.050
2.073532,-0.0338,-0.0227,0.0539,0.068
2.078468,-0.0167,-0.0138,0.0068,0.023
2.083516,-0.0212,-0.0121,-0.0258,0.036
2.090048,-0.0090,-0.0176,-0.0487,0.053
2.094127,0.0363,-0.0253,-0.0618,0.076
2.099560,0.0622,-0.0638,-0.1317,0.159
2.103722,0.0476,-0.0640,-0.1248,0.148
2.109308,0.0211,-0.0214,-0.1107,0.115
2.113905,0.0067,-0.0289,-0.0892,0.094
2.118774,-0.0005,-0.0150,-0.0583,0.060
2.123839,0.0067,-0.0107,-0.0038,0.013
2.130682,-0.0029,-0.0111,0.0053,0.013
2.135203,0.0209,-0.0280,0.0381,0.052
2.140307,0.0255,-0.0020,0.0349,0.043
2.144168,0.0063,0.0025,0.0173,0.019
2.149615,-0.0174,-0.0120,0.0139,0.025
2.154125,0.0043,-0.0119,0.0342,0.036
2.159322,-0.0265,0.0024,0.0449,0.052
2.165264,0.0095,-0.0166,0.0530,0.056
2.169727,0.0239,-0.0021,0.0706,0.075
2.174512,0.0286,0.0124,0.0714,0.078
2.179430,0.0452,0.0243,0.0485,0.071
2.184437,0.0521,0.0289,0.0187,0.062
