time,wx (rad/s),wy (rad/s),wz (rad/s)
0.007177,-0.00,-0.03,-0.00
0.007726,-0.04,-0.01,0.01
0.007959,-0.06,0.01,0.02
0.013686,-0.06,0.02,0.02
0.016789,-0.06,0.03,0.02
0.024362,-0.04,0.02,0.01
0.027624,-0.01,0.02,-0.00
0.032821,0.01,0.01,-0.01
0.038184,0.03,-0.00,-0.01
0.041783,0.05,-0.00,-0.01
0.046796,0.05,-0.01,-0.01
0.052081,0.05,-0.01,-0.01
0.057302,0.04,-0.01,-0.01
0.061820,0.03,-0.01,-0.01
0.067102,0.02,-0.01,-0.01
0.073030,0.01,-0.01,-0.00
0.077353,0.00,-0.01,-0.00
0.081964,-0.00,-0.01,-0.00
0.087316,-0.00,-0.01,-0.00
0.092169,-0.00,-0.00,0.00
0.097914,0.01,0.00,-0.00
0.102237,0.01,0.00,-0.00
0.107466,0.01,0.00,-0.01
0.113293,0.01,0.00,-0.00
0.117519,0.01,0.00,-0.01
0.126207,0.01,-0.00,-0.01
0.129766,0.00,-0.00,-0.00
0.133182,0.00,-0.01,-0.00
0.138148,0.00,-0.01,-0.00
0.145210,0.00,-0.01,-0.00
0.147870,0.00,-0.01,-0.00
0.152894,-0.00,-0.00,-0.00
0.157830,0.00,0.00,-0.00
0.163185,0.00,0.01,-0.00
0.167893,-0.00,0.01,-0.00
0.173188,-0.00,0.01,-0.00
0.178137,-0.01,0.01,-0.00
0.183073,-0.01,0.01,-0.00
0.188370,-0.01,0.01,-0.00
0.193112,-0.01,0.01,-0.00
0.198635,-0.01,0.01,-0.00
0.203318,-0.01,0.01,-0.00
0.208040,-0.01,0.01,-0.00
0.213332,-0.01,0.01,-0.00
0.218359,-0.02,0.01,-0.00
0.223360,-0.01,0.01,-0.00
0.229580,-0.01,0.01,-0.00
0.233695,-0.01,0.01,-0.00
0.238847,-0.01,0.01,-0.00
0.252602,-0.01,0.02,-0.00
0.253158,-0.01,0.02,-0.00
0.253975,-0.01,0.02,-0.00
0.258694,-0.01,0.02,0.00
0.263694,-0.01,0.02,-0.00
0.268804,-0.01,0.02,-0.00
0.278085,-0.01,0.02,-0.00
0.279043,-0.01,0.01,-0.00
0.283895,-0.01,0.01,0.00
0.290334,-0.02,0.01,0.00
0.294026,-0.02,0.01,0.00
0.299218,-0.02,0.01,-0.00
