time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002792,0.0213,0.0335,0.2457,0.249
0.003364,0.0613,0.0119,0.2652,0.272
0.004249,0.0581,-0.0330,0.2469,0.256
0.012460,0.0361,-0.0320,0.2715,0.276
0.014724,0.0309,-0.0425,0.2721,0.277
0.020088,0.0091,-0.0123,0.2559,0.256
0.024686,0.0209,-0.0510,0.2133,0.220
0.029759,-0.0100,-0.0416,0.1804,0.185
0.035232,-0.0383,0.0059,0.0950,0.103
0.040315,-0.0545,0.0077,0.0669,0.087
0.044914,-0.0633,-0.0047,0.0007,0.063
0.050190,-0.0673,0.0304,-0.0628,0.097
0.054809,-0.0523,0.0057,-0.0903,0.105
0.060341,-0.0207,0.0120,-0.1369,0.139
0.065383,-0.0251,0.0371,-0.1759,0.182
0.070071,-0.0176,0.0238,-0.1553,0.158
0.074983,0.0160,0.0152,-0.1588,0.160
0.081420,0.0445,-0.0077,-0.1886,0.194
0.085649,0.0443,-0.0092,-0.2062,0.211
0.090286,0.0227,0.0082,-0.2096,0.211
0.095252,0.0132,0.0396,-0.2392,0.243
0.100724,0.0037,0.0491,-0.2901,0.294
0.105433,-0.0033,0.0418,-0.2434,0.247
0.110839,-0.0008,0.0320,-0.3018,0.304
0.115959,0.0183,0.0364,-0.3193,0.322
0.121353,0.0183,0.0478,-0.3225,0.327
0.127045,0.0585,0.0399,-0.2636,0.273
0.130918,0.0486,0.0247,-0.2101,0.217
0.136057,0.0244,0.0237,-0.1974,0.200
0.141458,0.0099,0.0250,-0.1255,0.128
0.145728,-0.0282,0.0357,-0.0638,0.078
0.150947,-0.0043,0.0060,0.0093,0.012
0.155800,-0.0185,0.0002,0.0104,0.021
0.162372,-0.0041,-0.0081,0.0043,0.010
0.167561,0.0078,-0.0114,0.0479,0.050
0.171874,0.0101,-0.0267,0.0625,0.069
0.177008,-0.0019,-0.0324,0.0865,0.092
0.182921,0.0195,-0.0308,0.0865,0.094
0.186390,0.0028,-0.0077,0.0653,0.066
0.191057,0.0170,-0.0086,0.0921,0.094
0.196305,0.0358,-0.0118,0.0688,0.078
0.201587,0.0474,-0.0338,0.0579,0.082
0.206225,-0.0077,-0.0318,0.0922,0.098
0.211665,0.0066,0.0058,0.0791,0.080
0.217062,0.0207,-0.0280,0.0994,0.105
0.222056,-0.0103,-0.0115,0.0888,0.090
0.226761,0.0253,-0.0379,0.1022,0.112
0.232919,0.0109,-0.0448,0.1132,0.122
0.236940,-0.0130,-0.0184,0.1527,0.154
0.241902,-0.0034,-0.0112,0.1374,0.138
0.246747,-0.0200,-0.0157,0.0865,0.090
0.251686,-0.0151,-0.0461,0.1073,0.118
0.256790,0.0065,-0.0215,0.1281,0.130
0.262187,-0.0102,-0.0114,0.0513,0.054
0.267060,0.0161,-0.0108,0.0443,0.048
0.271761,-0.0031,-0.0126,0.0398,0.042
0.277031,0.0112,-0.0428,0.0308,0.054
0.283238,0.0254,-0.0395,-0.0113,0.048
0.287292,0.0109,-0.0244,-0.0006,0.027
0.291829,0.0345,0.0073,0.0028,0.035
0.297325,0.0271,0.0056,-0.0056,0.028
0.302250,0.0173,-0.0153,-0.0259,0.035
0.307179,0.0100,-0.0050,-0.0531,0.054
0.312570,0.0123,0.0145,-0.0422,0.046
0.317773,0.0051,0.0078,-0.0575,0.058
0.322693,-0.0093,0.0367,-0.0823,0.091
0.327305,0.0027,0.0440,-0.0593,0.074
0.332603,-0.0116,0.0489,-0.0818,0.096
0.337870,0.0051,0.0227,-0.0923,0.095
0.343648,-0.0045,0.0347,-0.0744,0.082
0.347691,0.0098,0.0536,-0.0829,0.099
0.353027,-0.0069,0.0296,-0.0961,0.101
0.357630,-0.0140,0.0082,-0.0666,0.069
0.363206,0.0028,0.0059,-0.0468,0.047
0.367764,-0.0020,0.0083,-0.0463,0.047
0.372599,0.0051,0.0106,-0.0316,0.034
0.377651,0.0217,0.0342,-0.0099,0.042
0.383380,0.0239,0.0125,-0.0122,0.030
0.388348,0.0284,0.0291,0.0142,0.043
0.393801,0.0021,0.0478,0.0260,0.054
0.399188,0.0092,0.0331,0.0210,0.040
0.403318,0.0162,0.0043,0.0589,0.061
0.408123,0.0327,0.0542,0.0609,0.088
0.413419,0.0182,0.0299,0.0699,0.078
0.418685,0.0156,0.0154,0.0575,0.062
0.423210,0.0132,0.0107,0.0166,0.024
0.428257,-0.0035,0.0251,0.0449,0.052
0.434558,0.0321,0.0038,0.0447,0.055
0.438673,0.0390,0.0207,0.0470,0.064
0.446116,0.0078,0.0352,0.0232,0.043
0.448918,0.0315,0.0590,0.0330,0.075
0.453528,0.0170,0.0494,0.0308,0.061
0.459454,0.0027,0.0187,0.0192,0.027
0.463840,-0.0092,0.0359,0.0171,0.041
0.469337,-0.0138,0.0387,-0.0038,0.041
0.473596,-0.0042,0.0366,-0.0126,0.039
0.478816,-0.0041,0.0489,0.0238,0.055
0.484434,0.0126,0.0517,0.0148,0.055
0.489083,0.0434,0.0019,0.0297,0.053
0.493905,0.0502,0.0286,0.0730,0.093
