time,wx (rad/s),wy (rad/s),wz (rad/s)
0.003715,-0.10,0.02,0.01
0.004045,-0.10,0.02,0.01
0.004980,-0.09,0.01,0.01
0.011948,-0.09,-0.00,0.01
0.014893,-0.08,-0.01,0.01
0.020005,-0.07,-0.00,0.01
0.026948,-0.06,-0.00,0.01
0.030853,-0.06,-0.01,0.01
0.035677,-0.05,-0.00,0.01
0.041616,-0.05,0.00,0.01
0.045216,-0.05,0.00,0.01
0.050609,-0.05,-0.00,0.01
0.055893,-0.05,-0.00,0.01
0.071639,-0.05,0.00,0.01
0.072196,-0.05,0.00,0.01
0.072343,-0.05,0.01,0.01
0.076423,-0.06,0.01,0.01
0.080516,-0.06,0.01,0.01
0.085545,-0.06,0.01,0.01
0.090844,-0.06,0.01,0.01
0.098520,-0.06,0.01,0.01
0.101749,-0.06,0.01,0.01
0.105559,-0.06,0.02,0.01
0.110770,-0.06,0.02,0.01
0.116295,-0.05,0.02,0.01
0.120984,-0.06,0.02,0.01
0.126732,-0.05,0.02,0.00
0.131617,-0.05,0.02,0.00
0.136182,-0.05,0.02,0.01
0.141890,-0.05,0.02,0.00
0.146063,-0.05,0.02,0.00
0.151991,-0.05,0.02,0.00
0.156249,-0.04,0.02,0.00
0.161633,-0.04,0.02,0.00
0.166113,-0.03,0.02,0.00
0.171562,-0.03,0.02,0.00
0.177057,-0.02,0.01,0.00
0.182254,-0.01,0.00,0.00
0.186657,-0.01,-0.00,-0.00
0.204851,-0.00,-0.01,0.00
0.205368,0.01,-0.01,0.00
0.205509,0.02,-0.01,0.00
0.206610,0.02,-0.01,0.01
0.211926,0.03,-0.01,0.01
0.216769,0.04,-0.01,0.01
0.222018,0.04,-0.01,0.01
0.231936,0.04,-0.01,0.01
0.232965,0.05,-0.00,0.01
0.239856,0.05,0.01,0.01
0.243678,0.06,0.01,0.01
0.247954,0.07,0.02,0.01
0.252360,0.09,0.02,0.00
0.257590,0.11,0.02,-0.00
0.262097,0.13,0.01,-0.01
0.266923,0.15,0.01,-0.01
0.272685,0.18,-0.00,-0.02
0.277598,0.20,-0.01,-0.02
0.282487,0.23,-0.01,-0.03
0.287516,0.25,-0.02,-0.03
0.293894,0.27,-0.02,-0.04
0.298799,0.29,-0.01,-0.04
0.303158,0.31,0.00,-0.04
0.307831,0.33,0.02,-0.04
0.312775,0.35,0.04,-0.04
0.317644,0.36,0.06,-0.05
0.322848,0.37,0.07,-0.05
0.338158,0.39,0.09,-0.05
0.338743,0.40,0.09,-0.06
0.338896,0.43,0.10,-0.06
0.343770,0.45,0.09,-0.07
0.347612,0.47,0.09,-0.07
0.353313,0.49,0.09,-0.08
0.357903,0.51,0.09,-0.08
0.365211,0.53,0.09,-0.08
0.368119,0.54,0.10,-0.08
0.373017,0.56,0.11,-0.08
